#Background 600 s 
E,N
0,0
1,0
2,9
3,15
4,16
5,20
6,14
7,19
8,19
9,24
10,20
11,27
12,24
13,40
14,47
15,48
16,41
17,36
18,48
19,37
20,30
21,37
22,39
23,50
24,40
25,42
26,67
27,60
28,77
29,90
30,77
31,80
32,124
33,121
34,125
35,150
36,139
37,185
38,168
39,167
40,169
41,147
42,160
43,147
44,133
45,127
46,135
47,130
48,128
49,137
50,123
51,115
52,126
53,120
54,136
55,143
56,113
57,112
58,136
59,112
60,109
61,127
62,106
63,125
64,115
65,101
66,104
67,102
68,92
69,108
70,85
71,76
72,85
73,97
74,86
75,102
76,106
77,87
78,81
79,69
80,78
81,81
82,83
83,74
84,71
85,70
86,91
87,69
88,89
89,64
90,62
91,73
92,66
93,64
94,70
95,56
96,57
97,75
98,59
99,60
100,45
101,56
102,65
103,41
104,64
105,44
106,53
107,63
108,46
109,44
110,50
111,54
112,39
113,40
114,39
115,43
116,43
117,36
118,42
119,37
120,39
121,37
122,36
123,37
124,37
125,34
126,46
127,28
128,39
129,36
130,27
131,27
132,32
133,35
134,29
135,26
136,36
137,25
138,27
139,30
140,21
141,39
142,29
143,29
144,27
145,21
146,24
147,30
148,26
149,21
150,15
151,20
152,25
153,24
154,24
155,14
156,24
157,19
158,25
159,23
160,28
161,17
162,20
163,17
164,21
165,20
166,25
167,18
168,11
169,18
170,25
171,17
172,10
173,20
174,24
175,12
176,20
177,13
178,15
179,22
180,22
181,26
182,16
183,16
184,13
185,21
186,4
187,12
188,15
189,10
190,15
191,14
192,13
193,18
194,6
195,12
196,13
197,12
198,5
199,8
200,13
201,16
202,9
203,12
204,13
205,13
206,11
207,19
208,6
209,10
210,8
211,9
212,12
213,9
214,5
215,12
216,15
217,8
218,11
219,7
220,9
221,8
222,11
223,10
224,10
225,10
226,10
227,11
228,9
229,8
230,11
231,11
232,9
233,7
234,9
235,12
236,10
237,10
238,11
239,6
240,19
241,12
242,13
243,9
244,9
245,15
246,8
247,9
248,9
249,8
250,6
251,6
252,5
253,10
254,12
255,13
256,9
257,10
258,10
259,15
260,13
261,12
262,10
263,18
264,6
265,8
266,8
267,8
268,11
269,8
270,12
271,2
272,6
273,10
274,7
275,3
276,2
277,7
278,7
279,7
280,6
281,4
282,8
283,12
284,8
285,8
286,5
287,8
288,5
289,9
290,8
291,4
292,6
293,7
294,7
295,6
296,3
297,6
298,5
299,4
300,6
301,6
302,7
303,8
304,9
305,5
306,7
307,5
308,3
309,5
310,5
311,9
312,7
313,4
314,3
315,6
316,8
317,4
318,4
319,3
320,7
321,6
322,6
323,5
324,2
325,5
326,1
327,9
328,3
329,5
330,6
331,4
332,4
333,1
334,5
335,6
336,4
337,2
338,6
339,6
340,6
341,6
342,3
343,5
344,4
345,5
346,3
347,5
348,3
349,7
350,2
351,4
352,4
353,6
354,8
355,3
356,3
357,4
358,4
359,6
360,1
361,4
362,5
363,3
364,2
365,4
366,4
367,7
368,5
369,6
370,6
371,3
372,8
373,3
374,3
375,2
376,4
377,5
378,0
379,2
380,4
381,5
382,4
383,2
384,1
385,6
386,7
387,0
388,2
389,3
390,8
391,7
392,4
393,4
394,4
395,4
396,4
397,6
398,3
399,1
400,4
401,4
402,2
403,5
404,5
405,5
406,4
407,3
408,1
409,2
410,5
411,4
412,4
413,5
414,4
415,3
416,2
417,2
418,3
419,3
420,4
421,2
422,4
423,3
424,2
425,0
426,3
427,5
428,0
429,2
430,1
431,1
432,2
433,3
434,7
435,2
436,0
437,1
438,1
439,6
440,6
441,6
442,5
443,4
444,4
445,5
446,2
447,6
448,5
449,3
450,2
451,2
452,6
453,4
454,3
455,3
456,2
457,3
458,3
459,4
460,4
461,4
462,5
463,4
464,4
465,2
466,2
467,4
468,2
469,3
470,4
471,3
472,2
473,3
474,3
475,3
476,7
477,4
478,7
479,2
480,7
481,6
482,6
483,3
484,2
485,5
486,5
487,2
488,2
489,2
490,3
491,0
492,8
493,1
494,0
495,3
496,2
497,1
498,2
499,1
500,2
501,2
502,3
503,3
504,2
505,2
506,2
507,1
508,3
509,2
510,2
511,652
