#Background 600 s 
E,N
0,2
1,35
2,2110
3,2792
4,2993
5,3202
6,3587
7,3822
8,4396
9,4683
10,5100
11,5476
12,5801
13,6159
14,6570
15,6654
16,6337
17,6198
18,5972
19,5572
20,5421
21,5374
22,5407
23,5566
24,5866
25,6437
26,7088
27,7748
28,8605
29,9068
30,9534
31,9491
32,9494
33,9158
34,8623
35,8314
36,7793
37,7327
38,7216
39,6917
40,6729
41,6607
42,6442
43,6302
44,6220
45,6070
46,6074
47,6094
48,5975
49,6089
50,6116
51,6061
52,6093
53,5934
54,6200
55,6116
56,6114
57,6269
58,6206
59,6260
60,6129
61,6165
62,6206
63,6194
64,6304
65,6604
66,6457
67,6532
68,6527
69,6408
70,6563
71,6709
72,6947
73,7080
74,7291
75,7556
76,7789
77,7964
78,8624
79,8551
80,8964
81,9221
82,9045
83,9322
84,9507
85,9404
86,9434
87,9296
88,8989
89,9017
90,8976
91,8791
92,8323
93,8266
94,8307
95,8056
96,7769
97,7966
98,7632
99,7520
100,7270
101,7319
102,7041
103,7038
104,6972
105,6791
106,6790
107,6654
108,6680
109,6494
110,6562
111,6395
112,6443
113,6394
114,6250
115,6168
116,6175
117,6119
118,6161
119,6103
120,5964
121,5944
122,5967
123,5800
124,5926
125,5922
126,5820
127,5935
128,5724
129,5607
130,5840
131,5819
132,5773
133,5628
134,5812
135,5762
136,5665
137,5750
138,5811
139,5703
140,5602
141,5758
142,5630
143,5812
144,5628
145,5821
146,5738
147,5700
148,5511
149,5879
150,5812
151,5759
152,5678
153,5875
154,5762
155,5757
156,5736
157,5668
158,5798
159,5841
160,5884
161,6064
162,5956
163,6007
164,6047
165,5901
166,5993
167,6020
168,6057
169,6044
170,6258
171,6259
172,6246
173,6246
174,6160
175,6341
176,6244
177,6239
178,6216
179,6226
180,6179
181,5933
182,5971
183,5987
184,5665
185,5667
186,5603
187,5460
188,5350
189,5006
190,4949
191,4774
192,4552
193,4441
194,4186
195,4025
196,3781
197,3689
198,3549
199,3396
200,3237
201,3004
202,2971
203,2788
204,2621
205,2504
206,2400
207,2319
208,2228
209,2117
210,2061
211,1976
212,1762
213,1740
214,1726
215,1634
216,1580
217,1535
218,1506
219,1445
220,1391
221,1275
222,1285
223,1259
224,1246
225,1268
226,1162
227,1146
228,1090
229,1037
230,1059
231,1047
232,1063
233,1138
234,1176
235,1128
236,1178
237,1122
238,1255
239,1336
240,1512
241,1581
242,1707
243,1949
244,2175
245,2428
246,2740
247,3109
248,3478
249,3811
250,4328
251,4764
252,5620
253,6070
254,6901
255,7492
256,8083
257,8710
258,9736
259,10872
260,11369
261,12080
262,13159
263,13863
264,14591
265,15291
266,15967
267,16380
268,16786
269,16777
270,17407
271,17343
272,17302
273,17287
274,16881
275,16774
276,16256
277,15600
278,15267
279,14457
280,14407
281,13614
282,12926
283,12107
284,11486
285,10845
286,10244
287,9729
288,9139
289,8537
290,7897
291,7333
292,6778
293,6231
294,5772
295,5351
296,4936
297,4681
298,4205
299,4018
300,3611
301,3393
302,3038
303,2923
304,2583
305,2478
306,2345
307,2207
308,2083
309,1909
310,1848
311,1640
312,1525
313,1511
314,1396
315,1367
316,1240
317,1147
318,1132
319,1056
320,1044
321,901
322,870
323,839
324,744
325,685
326,677
327,588
328,608
329,495
330,447
331,435
332,382
333,345
334,317
335,303
336,263
337,239
338,232
339,169
340,165
341,137
342,142
343,104
344,107
345,93
346,84
347,72
348,83
349,51
350,66
351,64
352,44
353,50
354,48
355,51
356,45
357,44
358,21
359,44
360,34
361,27
362,34
363,48
364,38
365,42
366,21
367,31
368,38
369,39
370,27
371,36
372,39
373,40
374,45
375,32
376,40
377,28
378,30
379,34
380,28
381,32
382,27
383,35
384,31
385,23
386,31
387,30
388,27
389,24
390,37
391,20
392,39
393,33
394,15
395,27
396,35
397,19
398,28
399,22
400,28
401,32
402,23
403,25
404,25
405,23
406,32
407,23
408,15
409,25
410,21
411,24
412,27
413,23
414,20
415,25
416,35
417,27
418,13
419,16
420,16
421,29
422,21
423,22
424,18
425,29
426,28
427,22
428,20
429,20
430,23
431,22
432,16
433,20
434,18
435,19
436,18
437,18
438,16
439,19
440,14
441,19
442,17
443,16
444,16
445,18
446,20
447,19
448,17
449,19
450,23
451,20
452,11
453,12
454,18
455,17
456,15
457,20
458,14
459,14
460,18
461,11
462,6
463,7
464,10
465,10
466,17
467,16
468,13
469,8
470,16
471,13
472,7
473,10
474,14
475,14
476,18
477,11
478,11
479,18
480,11
481,8
482,13
483,10
484,9
485,11
486,7
487,8
488,18
489,16
490,13
491,8
492,14
493,8
494,6
495,14
496,9
497,9
498,17
499,6
500,14
501,10
502,6
503,10
504,10
505,15
506,2
507,5
508,7
509,15
510,13
511,885
