#Background 600 s 
E,N
0,0
1,11
2,1017
3,1423
4,1541
5,1556
6,1679
7,1756
8,1771
9,2013
10,2099
11,2159
12,2170
13,2280
14,2383
15,2542
16,2466
17,2583
18,2527
19,2621
20,2578
21,2508
22,2651
23,2697
24,2775
25,2714
26,2811
27,2759
28,2679
29,2769
30,2910
31,2979
32,3023
33,3153
34,3155
35,3255
36,3295
37,3360
38,3332
39,3279
40,3234
41,3196
42,3043
43,3072
44,2952
45,2885
46,2908
47,2974
48,2902
49,2951
50,2886
51,2913
52,2893
53,2849
54,2843
55,2935
56,2956
57,2966
58,3064
59,2977
60,2967
61,3045
62,2989
63,3021
64,3118
65,2982
66,3283
67,3187
68,3208
69,3156
70,3441
71,3597
72,3654
73,3763
74,3906
75,3910
76,4104
77,4031
78,4161
79,4122
80,4053
81,4198
82,4114
83,4051
84,3986
85,3990
86,3850
87,3987
88,3885
89,3827
90,3814
91,3819
92,3752
93,3641
94,3632
95,3649
96,3582
97,3597
98,3586
99,3357
100,3356
101,3434
102,3545
103,3348
104,3326
105,3433
106,3242
107,3350
108,3298
109,3152
110,3309
111,3178
112,3253
113,3067
114,3130
115,3092
116,3076
117,3141
118,3136
119,3167
120,3062
121,3163
122,3101
123,3209
124,2971
125,3064
126,2992
127,3030
128,2949
129,2896
130,2853
131,2865
132,2775
133,2611
134,2654
135,2596
136,2454
137,2470
138,2304
139,2294
140,2150
141,1958
142,1909
143,1832
144,1719
145,1680
146,1608
147,1536
148,1538
149,1391
150,1341
151,1278
152,1272
153,1197
154,1149
155,1097
156,1085
157,1032
158,990
159,971
160,897
161,929
162,820
163,907
164,855
165,886
166,843
167,838
168,820
169,768
170,792
171,793
172,728
173,711
174,736
175,785
176,747
177,750
178,778
179,737
180,786
181,762
182,829
183,812
184,979
185,991
186,1068
187,1146
188,1382
189,1494
190,1744
191,1907
192,2188
193,2388
194,2688
195,3164
196,3407
197,3954
198,4460
199,4934
200,5512
201,5977
202,6593
203,7171
204,7660
205,8049
206,8603
207,8904
208,9394
209,9617
210,9880
211,10137
212,10162
213,9989
214,9795
215,9650
216,9508
217,9159
218,9037
219,8544
220,8264
221,7455
222,7263
223,6958
224,6427
225,5934
226,5441
227,5178
228,4466
229,4019
230,3873
231,3559
232,3268
233,2984
234,2708
235,2528
236,2315
237,2088
238,1889
239,1806
240,1664
241,1563
242,1455
243,1371
244,1229
245,1184
246,1180
247,1087
248,1072
249,988
250,948
251,852
252,858
253,840
254,767
255,731
256,735
257,633
258,641
259,597
260,607
261,579
262,597
263,534
264,565
265,514
266,494
267,489
268,474
269,482
270,404
271,421
272,435
273,469
274,438
275,472
276,418
277,424
278,466
279,421
280,424
281,443
282,422
283,425
284,428
285,413
286,435
287,394
288,443
289,444
290,427
291,419
292,448
293,417
294,436
295,427
296,429
297,464
298,394
299,473
300,434
301,413
302,414
303,397
304,405
305,429
306,406
307,414
308,431
309,400
310,418
311,412
312,426
313,386
314,395
315,453
316,421
317,393
318,439
319,440
320,403
321,424
322,421
323,434
324,423
325,419
326,416
327,421
328,446
329,462
330,431
331,396
332,436
333,438
334,470
335,436
336,439
337,448
338,455
339,407
340,481
341,464
342,475
343,472
344,448
345,425
346,470
347,456
348,440
349,425
350,402
351,449
352,475
353,429
354,446
355,474
356,462
357,449
358,462
359,486
360,477
361,495
362,523
363,498
364,503
365,513
366,468
367,454
368,506
369,486
370,498
371,545
372,478
373,506
374,507
375,531
376,471
377,547
378,528
379,487
380,517
381,551
382,531
383,480
384,483
385,542
386,501
387,550
388,548
389,524
390,587
391,551
392,509
393,530
394,543
395,496
396,546
397,484
398,474
399,511
400,508
401,498
402,515
403,486
404,456
405,479
406,453
407,426
408,418
409,409
410,438
411,435
412,414
413,396
414,403
415,415
416,370
417,388
418,300
419,335
420,344
421,314
422,294
423,284
424,273
425,307
426,268
427,263
428,247
429,256
430,243
431,226
432,260
433,221
434,229
435,211
436,212
437,206
438,188
439,175
440,144
441,171
442,170
443,137
444,161
445,154
446,164
447,161
448,147
449,147
450,144
451,162
452,162
453,139
454,166
455,150
456,175
457,149
458,161
459,135
460,151
461,169
462,180
463,173
464,162
465,190
466,239
467,230
468,215
469,233
470,270
471,277
472,319
473,298
474,345
475,356
476,387
477,431
478,435
479,424
480,519
481,496
482,541
483,569
484,583
485,604
486,626
487,658
488,712
489,723
490,755
491,786
492,799
493,752
494,826
495,764
496,823
497,879
498,777
499,824
500,833
501,817
502,847
503,849
504,803
505,855
506,781
507,798
508,748
509,760
510,732
511,23199
